Datum,PS_7_Tage_R_Wert,PS_COVID_Faelle,PS_COVID_Faelle_ma4
2020-03-02,,303,225
2020-03-03,,321,261
2020-03-04,,449,326
2020-03-05,,503,394
2020-03-06,2.34,757,507
2020-03-07,2.56,984,673
2020-03-08,2.93,1336,895
2020-03-09,3.13,2020,1274
2020-03-10,3.22,2574,1728
2020-03-11,3.12,3238,2292
2020-03-12,2.84,3603,2859
2020-03-13,2.5,4353,3442
2020-03-14,2.18,4434,3907
2020-03-15,1.99,4677,4267
2020-03-16,1.74,6019,4871
2020-03-17,1.56,5236,5091
2020-03-18,1.39,5286,5304
2020-03-19,1.24,4726,5317
2020-03-20,1.13,5328,5144
2020-03-21,1.04,4443,4946
2020-03-22,0.98,3817,4578
2020-03-23,0.92,5152,4685
2020-03-24,0.89,4078,4373
2020-03-25,0.9,4418,4366
2020-03-26,0.88,3996,4411
2020-03-27,0.9,4123,4154
2020-03-28,0.9,3890,4107
2020-03-29,0.9,3261,3818
2020-03-30,0.92,4392,3917
2020-03-31,0.93,3571,3778
2020-04-01,0.93,4045,3817
2020-04-02,0.94,3724,3933
2020-04-03,0.93,3726,3766
2020-04-04,0.92,3008,3626
2020-04-05,0.89,2698,3289
2020-04-06,0.89,3343,3194
2020-04-07,0.87,3055,3026
2020-04-08,0.85,2873,2992
2020-04-09,0.83,2701,2993
2020-04-10,0.81,2322,2738
2020-04-11,0.81,2018,2478
2020-04-12,0.79,1953,2248
2020-04-13,0.79,1886,2045
2020-04-14,0.78,1951,1952
2020-04-15,0.76,1940,1932
2020-04-16,0.78,1750,1882
2020-04-17,0.8,1642,1821
2020-04-18,0.81,1434,1692
2020-04-19,0.84,1310,1534
2020-04-20,0.84,1579,1491
2020-04-21,0.83,1351,1419
2020-04-22,0.83,1294,1383
2020-04-23,0.81,1268,1373
2020-04-24,0.81,1143,1264
2020-04-25,0.82,1007,1178
2020-04-26,0.82,905,1081
2020-04-27,0.82,1100,1039
2020-04-28,0.81,944,989
2020-04-29,0.81,868,954
2020-04-30,0.81,937,962
2020-05-01,0.82,814,891
2020-05-02,0.85,743,840
2020-05-03,0.86,756,812
2020-05-04,0.89,891,801
2020-05-05,0.9,813,800
2020-05-06,0.89,744,801
2020-05-07,0.9,705,788
2020-05-08,0.89,680,735
2020-05-09,0.87,580,677
